StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Actions,Q10,Q85,Q11,Q12,Q13,Q86,Q16,Q87,Q88,Q89,Q17,Q91,Q18,Q92,Q93,Q95,Q94,Q19,Q21,Q20,Q22,Q97,Q23,Q96,Q25,Q26,Q98,Q99,Q104,Q36,Q105,Q39,Q37,Q106,Q45,Q46,Q107,Q108,Q109,Q112,Q114,Q115,Q116,Q117,Q118,Q119,Q60,Q61,Q65,Q136,Q137,Q66,Q68,Q138,Q139,Q70,Q153,Q154,Q155,Q71,Q73,Q74,Q156,Q157,Q76,Q78,Q77,Q159,Q158,Q79,Q81,Q82,Q161,Q160,Q83,Q84,Q164,Q163,Q162,Q165,Q166,Q171,Q173,Q172,Q167,Q178,Q177,Q174,Q176,Q175,Q168,Q184,Q183,Q182,Q181,Q180,Q179,Q169,Q170,Q185,Q237,Q193,Q194,Q195,Q197,Q201,Q203,Q204,Q206,Q209,Q211,Q213,Q214,Q216,Q219,Q220,Q222,Q225,Q228,Q230,Q232,Q238,Q235,Q240,Q242,Q244,Q246,Q248,Q250,Q251,Q252,Q255,Q257,Q259,Q261,Q263,Q265,Q267,Q269,Q271,jk_action_1,jk_action_2,jk_action_3,jk_action_1_pre,jk_action_2_pre,jk_action_3_pre,jk_action_1_post,jk_action_2_post,jk_action_3_post,lr_action_1,lr_action_2,lr_action_3,lr_action_1_pre,lr_action_2_pre,lr_action_3_pre,lr_action_1_post,lr_action_2_post,lr_action_3_post
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"How strongly do you agree with following statement?

The listed actions accurately reflect the plot of the story.","Before Princess heals Jaguar Knight, it is likely that Princess likes Jaguar Knight.","Before Princess heals Jaguar Knight, Jaguar Knight caused Jaguar Knight's health to be at risk.","After Princess heals Jaguar Knight, it is likely that Jaguar Knight really likes Princess.","After Princess heals Jaguar Knight, Jaguar Knight causes Jaguar Knight's health returns to normal.","Before Enemy kidnaps Princess, it is likely that Enemy hates Princess.","Before Enemy kidnaps Princess, Princess has caused Princess to be a prisoner.","After Enemy kidnaps Princess, it is likely that Princess hates Enemy.","Before Enemy ties up Princess, it is likely that Enemy hates Princess.","Before Enemy ties up Princess, Princess has caused Princess to be a prisoner.","After Enemy ties up Princess, it is likely that Princess really hates Enemy.","Before Enemy attacks Princess, it is likely that Enemy hates Princess.","Before Enemy attacks Princess, Princess has caused Princess's life to be at risk.","After Enemy attacks Princess, it is likely that Princess really hates Enemy.","Before Jaguar Knight searches for Enemy, it is likely that Jaguar Knight likes Enemy.","Before Jaguar Knight searches for Enemy, Enemy has caused Princess to be a prisoner.","Before Jaguar Knight searches for Enemy, Enemy has caused Princess's life to be at risk.",After Jaguar Knight searches for Enemy it is likely that Jaguar Knight really likes Enemy.,"Before Jaguar Knight attacks Enemy, it is likely that Jaguar Knight really likes Enemy.","Before Jaguar Knight attacks Enemy, Enemy has caused Princess's life to be at risk.","Before Jaguar Knight attacks Enemy, Enemy has caused Princess to be a prisoner.","After Jaguar Knight attacks Enemy, it is likely that Enemy really likes Jaguar Knight.","Before Princess is liberated by Jaguar Knight, it is likely that Jaguar Knight really likes Princess.","Before Princess is liberated by Jaguar Knight, Enemy has caused Princess to be a prisoner.","Before Princess is liberated by Jaguar Knight, Enemy has caused Princess's life to be at risk.","After Princess is liberated by Jaguar Knight, it is likely that Princess really, really likes Jaguar Knight.","After Princess is liberated by Jaguar Knight, Enemy has caused Princess to be freed.","After Princess is liberated by Jaguar Knight, Enemy has caused Princess's life to no longer be at risk.","Before Princess kisses Jaguar Knight, it is likely that Princess has fallen deeply in love with Jaguar Knight.","After Princess kisses Jaguar Knight, it is likely that Princess has fallen very deeply in love with Jaguar Knight.","Before Princess realizes the identity of Jaguar Knight
, it is likely that Princess doesn't like Jaguar Knight.","After Princess realizes the identity of Jaguar Knight
, it is likely that Princess really hates Jaguar Knight.","Before Princess kills Jaguar Knight, it is likely that Princess hates Jaguar Knight.","Before Princess kills Jaguar Knight, Jaguar Knight has caused Jaguar Knight to be dead.","After Princess kills Jaguar Knight, it is likely that Princess really, really hates Jaguar Knight.","How strongly do you agree with following statement?

The listed actions accurately reflect the plot of the story.","After Goldilocks tastes Great Big Bear's porridge, it is likely that Goldilocks somewhat dislikes Great Big Bear.","After Goldilocks tastes Middlesized Bear's porridge, it is likely that Goldilocks somewhat dislikes Middle-sized Bear.","After Goldilocks eats Little Wee Bear's porridge, it is likely that Goldilocks somewhat likes Little Wee Bear.","After Goldilocks sits in Great Big Bear's chair, it is likely that Goldilocks somewhat dislikes Great Big Bear.","After Goldilocks sits in Middlesized Bear's chair, it is likely that Goldilocks somewhat dislikes Middle-sized Bear.","After Goldilocks breaks Little Wee Bear's chair, it is likely that Goldilocks dislikes Little Wee Bear.","After Goldilocks breaks Little Wee Bear's chair,  Goldilocks has caused Little Wee Bear's life to be at risk.","After Goldilocks lies in Great Big Bear's bed, it is likely that Goldilocks somewhat dislikes Great Big Bear.","After Goldilocks lies in Middlesized Bear's bed, it is likely that Goldilocks somewhat dislikes Middle-sized Bear.","After Goldilocks sleeps in Little Wee Bear's bed, it is likely that Goldilocks somewhat likes Little Wee Bear.","After Goldilocks sleeps in Little Wee Bear's bed,  Goldilocks has caused Little Wee Bear's life to be at risk.","How strongly do you agree with following statement?

The listed actions accurately reflect the plot of the story.","Before Stepmother argues with Father, it is likely that Father hates Stepmother.","Before Stepmother argues with Father,  Father has caused Stepmother's life to be at risk.","After Stepmother argues with Father, it is likely that Stepmother hates Father.","After Stepmother argues with Father,  nobody has caused anybody's life to be at risk.","Before Gretel weeps because of Stepmother, it is likely that Gretel dislikes Stepmother.","Before Gretel weeps because of Stepmother,  nobody has caused anybody's life to be at risk.","After Gretel weeps because of Stepmother, it is likely that Gretel hates Stepmother.","After Gretel weeps because of Stepmother,  nobody has caused anybody's life to be at risk.","Before Hansel comforts Gretel, it is likely that Hansel really likes Gretel.","Before Hansel comforts Gretel,  nobody has caused anybody's life to be at risk.","After Hansel comforts Gretel, it is likely that Gretel really likes Hansel.","After Hansel comforts Gretel,  nobody has caused anybody's life to no longer be at risk.","After Hansel gathers pebbles,  Hansel has caused anybody's life to no longer be at risk.","Before Stepmother abandons children, it is likely that children hates Stepmother.","Before Stepmother abandons children,  children has caused Stepmother's life to be at risk.","After Stepmother abandons the children, it is likely that Stepmother hates the children.","After Stepmother abandons the children,  nobody has caused anybody's life to be at risk.","After Hansel and Gretel follow pebbles,  Hansel and Gretel have caused anybody's life to no longer be at risk.","Before Stepmother argues with Father, it is likely that Father hates Stepmother.","Before Stepmother argues with Father,  Father has caused Stepmother's life to be at risk.","After Stepmother argues with Father, it is likely that Stepmother hates Father.","After Stepmother argues with Father,  nobody has caused anybody's life to be at risk.","After Hansel scatters breadcrumbs,  Hansel has caused anybody's life to no longer be at risk.","Before Stepmother abandons the children, it is likely that the children hate Stepmother.","Before Stepmother abandons the children, the children have caused Stepmother's life to be at risk.","After Stepmother abandons the children, it is likely that Stepmother hates the children.","After Stepmother abandons the children,  nobody has caused anybody's life to be at risk.","Before Witch captures Hansel, it is likely that Witch hates Hansel.","Before Witch captures Hansel,  Witch has caused Hansel to be a prisoner.","Before Witch captures Hansel,  Witch has caused Hansel's health to be at risk.","After Witch captures Hansel, it is likely that Hansel hates Witch.","After Witch captures Hansel,  Witch has caused Hansel to be a prisoner.","After Witch captures Hansel,  Witch has caused Hansel's health to be at risk.","Before Witch imprisons Hansel, it is likely that Witch hates Hansel.","Before Witch imprisons Hansel,  Witch has caused Hansel to be a prisoner.","After Witch imprisons Hansel, it is likely that Hansel hates Witch.","After Witch imprisons Hansel,  Witch has caused Hansel to be a prisoner.","Before Witch tempts Gretel, it is likely that Witch dislikes Gretel.","Before Witch tempts Gretel,  Witch has caused Gretel's life to be at risk.","Before Witch tempts Gretel,  Witch has caused Gretel's health to be at risk.","After Witch tempts Gretel, it is likely that Gretel hates Witch.","After Witch tempts Gretel,  nobody has caused anybody's life to be at risk.","After Witch tempts Gretel,  nobody has caused anybody's health to be at risk.","Before Gretel kills Witch, it is likely that Gretel hates Witch.","Before Gretel kills Witch,  nobody has caused anybody's life to be at risk.","Before Gretel kills Witch,  Witch has caused Gretel to be a prisoner.","After Gretel kills Witch, it is likely that Gretel hates Witch.","After Gretel kills Witch,  Gretel has caused Witch to die.","After Gretel kills Witch,  nobody has caused anybody to no longer be a prisoner.","After Gretel kills Witch,  nobody has caused anybody's life to no longer be at risk.","After Hansel and Gretel escapes,  nobody has caused anybody to no longer be a prisoner.","Before Hansel and Gretel return home to Father, it is likely that Hansel and Gretel like Father.","After Hansel and Gretel return home to Father, it is likely that Hansel and Gretel really like Father.","How strongly do you agree with following statement?

The listed actions accurately reflect the plot of the story.","After Mother tells Jack to sell a cow, it is likely that Mother somewhat dislikes Jack.","After Mother tells Jack to sell a cow, it is likely that Jack somewhat dislikes Mother.","After Mother tells Jack to sell a cow,  anybody has caused anybody's life to be at risk.","After Man offers Jack magic beans, it is likely that Jack dislikes Man.","After Jack gives Man the cow, it is likely that Jack somewhat dislikes Man.","After Mother scolds Jack, it is likely that Mother dislikes Jack.","After Mother scolds Jack, it is likely that Jack dislikes Mother.","After Jack asks Wife for food, it is likely that Jack somewhat likes Wife.","After Wife gives food to Jack, it is likely that Jack somewhat likes Wife.","After Giant threatens Jack, it is likely that Giant hates Jack.","After Wife lies to protect Jack, it is likely that Wife somewhat likes Giant.","After Wife lies to protect Jack, it is likely that Giant dislikes Wife.","After Jack steals gold from Giant, it is likely that Jack dislikes Giant.","After Jack gives coins to Mother, it is likely that Jack somewhat likes Mother.","After Jack gives coins to Mother, it is likely that Mother somewhat likes Jack.","After Jack steals a hen from Giant, it is likely that Jack dislikes Giant.","After Giant sees Jack stealing, it is likely that Giant hates Jack.","After Giant chases Jack, it is likely that Giant hates Jack.","After Jack steals harp from Giant, it is likely that Jack hates Giant.","After Jack kills Giant, it is likely that Jack hates Giant.","How strongly do you agree with following statement?

The listed actions accurately reflect the plot of the story.","After Mother cares for Little Red Riding Hood, it is likely that Mother really likes Little Red Riding Hood.","After Grandmother cares for Little Red Riding Hood, it is likely that Grandmother really likes Little Red Riding Hood.","After Mother sends Little Red Riding Hood on an errand, it is likely that Mother really likes Little Red Riding Hood.","After Little Red Riding Hood communicates with Wolf,  nobody has caused Wolf's life to be at risk.","After Wolf asks Little Red Riding Hood about her whereabouts ,  nobody has caused Little Red Riding Hood's life to be at risk.","After Little Red Riding Hood reveals information to Wolf, it is likely that Wolf somewhat dislikes Little Red Riding Hood.","After Little Red Riding Hood reveals information to Wolf, it is likely that Wolf somewhat dislikes Little Red Riding Hood.","After Wolf knocks on Grandmother's door,  nobody has caused Grandmother's health to be at risk.","After Grandmother falls ill,  Grandmother has caused Grandmother's health to be at risk.","After Wolf hides identity from Grandmother, it is likely that Wolf hates Grandmother.","After Grandmother unknowingly lets Wolf enter, it is likely that Wolf hates Grandmother.","After Wolf eats up Grandmother,  nobody has caused Grandmother to die.","After Wolf hides in bed,  anybody has caused anybody's life to be at risk.","After Little Red Riding Hood communicates with Wolf,  nobody has caused Wolf's life to be at risk.","After Little Red Riding Hood notices something unusual about Wolf, it is likely that Little Red Riding Hood dislikes Wolf.","After Little Red Riding Hood comments on Wolf's appearance, it is likely that Little Red Riding Hood hates Wolf.","After Wolf reveals true identity,  anybody has caused anybody's life to be at risk.","After Wolf eats up Little Red Riding Hood,  nobody has caused Little Red Riding Hood to die.",jk_action_1,jk_action_2,jk_action_3,jk_action_1_pre,jk_action_2_pre,jk_action_3_pre,jk_action_1_post,jk_action_2_post,jk_action_3_post,lr_action_1,lr_action_2,lr_action_3,lr_action_1_pre,lr_action_2_pre,lr_action_3_pre,lr_action_1_post,lr_action_2_post,lr_action_3_post
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID10""}","{""ImportId"":""QID85""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID86""}","{""ImportId"":""QID16""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89""}","{""ImportId"":""QID17""}","{""ImportId"":""QID91""}","{""ImportId"":""QID18""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID95""}","{""ImportId"":""QID94""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID97""}","{""ImportId"":""QID23""}","{""ImportId"":""QID96""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID104""}","{""ImportId"":""QID36""}","{""ImportId"":""QID105""}","{""ImportId"":""QID39""}","{""ImportId"":""QID37""}","{""ImportId"":""QID106""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID112""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID65""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID66""}","{""ImportId"":""QID68""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID70""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID76""}","{""ImportId"":""QID78""}","{""ImportId"":""QID77""}","{""ImportId"":""QID159""}","{""ImportId"":""QID158""}","{""ImportId"":""QID79""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID161""}","{""ImportId"":""QID160""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID164""}","{""ImportId"":""QID163""}","{""ImportId"":""QID162""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID171""}","{""ImportId"":""QID173""}","{""ImportId"":""QID172""}","{""ImportId"":""QID167""}","{""ImportId"":""QID178""}","{""ImportId"":""QID177""}","{""ImportId"":""QID174""}","{""ImportId"":""QID176""}","{""ImportId"":""QID175""}","{""ImportId"":""QID168""}","{""ImportId"":""QID184""}","{""ImportId"":""QID183""}","{""ImportId"":""QID182""}","{""ImportId"":""QID181""}","{""ImportId"":""QID180""}","{""ImportId"":""QID179""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID185""}","{""ImportId"":""QID237""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID197""}","{""ImportId"":""QID201""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID206""}","{""ImportId"":""QID209""}","{""ImportId"":""QID211""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID216""}","{""ImportId"":""QID219""}","{""ImportId"":""QID220""}","{""ImportId"":""QID222""}","{""ImportId"":""QID225""}","{""ImportId"":""QID228""}","{""ImportId"":""QID230""}","{""ImportId"":""QID232""}","{""ImportId"":""QID238""}","{""ImportId"":""QID235""}","{""ImportId"":""QID240""}","{""ImportId"":""QID242""}","{""ImportId"":""QID244""}","{""ImportId"":""QID246""}","{""ImportId"":""QID248""}","{""ImportId"":""QID250""}","{""ImportId"":""QID253""}","{""ImportId"":""QID252""}","{""ImportId"":""QID255""}","{""ImportId"":""QID257""}","{""ImportId"":""QID259""}","{""ImportId"":""QID261""}","{""ImportId"":""QID263""}","{""ImportId"":""QID265""}","{""ImportId"":""QID267""}","{""ImportId"":""QID269""}","{""ImportId"":""QID271""}","{""ImportId"":""jk_action_1""}","{""ImportId"":""jk_action_2""}","{""ImportId"":""jk_action_3""}","{""ImportId"":""jk_action_1_pre""}","{""ImportId"":""jk_action_2_pre""}","{""ImportId"":""jk_action_3_pre""}","{""ImportId"":""jk_action_1_post""}","{""ImportId"":""jk_action_2_post""}","{""ImportId"":""jk_action_3_post""}","{""ImportId"":""lr_action_1""}","{""ImportId"":""lr_action_2""}","{""ImportId"":""lr_action_3""}","{""ImportId"":""lr_action_1_pre""}","{""ImportId"":""lr_action_2_pre""}","{""ImportId"":""lr_action_3_pre""}","{""ImportId"":""lr_action_1_post""}","{""ImportId"":""lr_action_2_post""}","{""ImportId"":""lr_action_3_post""}"
2025-04-11 13:50:48,2025-04-11 13:51:22,1,,100,34,1,2025-04-11 13:51:23,R_1KPTKNYot5F3du1,,,,,40.2584,-111.6591,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The bridge collapses,,,,,,,,,,,,,,,,,
2025-04-11 13:52:31,2025-04-11 13:52:34,1,,100,3,1,2025-04-11 13:52:35,R_1ZE9lY9hyFOvAmm,,,,,40.2584,-111.6591,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The bridge collapses,,,,,,,,,,,,,,,,,
2025-04-14 15:17:34,2025-04-14 15:18:49,1,,100,75,1,2025-04-14 15:18:50,R_1jTXwf4Q3E96oiS,,,,,40.2584,-111.6591,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Princess heals Jaguar Knight.,Jaguar Knight kills Enemy.,Princess liberated by Jaguar Knight.,Jaguar Knight's health is at risk.,Jaguar Knight hates Enemy.,Princess is a prisoner.,Jaguar Knight's health is normal.,Enemy dies.,Princess falls deeply in love with Jaguar Knight.,,,,,,,,,
2025-04-14 16:42:40,2025-04-14 16:43:33,1,,100,52,1,2025-04-14 16:43:33,R_12rtDIL9XkDj5dE,,,,,40.2584,-111.6591,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy kidnaps Princess.,Enemy attacks Princess.,Princess liberated by Jaguar Knight.,Enemy hates Princess.,Enemy hates Princess.,Princess is a prisoner.,Princess is in prison.,Princess's life is at risk.,Princess falls deeply in love with Jaguar Knight.,,,,,,,,,
2025-04-17 17:51:53,2025-04-17 17:52:25,1,,100,32,1,2025-04-17 17:52:26,R_1rYJXKQBaA7nSCp,,,,,40.3598,-111.7304,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Princess heals Jaguar Knight.,Jaguar Knight kills Enemy.,Princess liberated by Jaguar Knight.,Princess loves Jaguar Knight.,Enemy's life is at risk.,Princess is a prisoner.,Jaguar Knight falls in love with Princess.,Enemy dies.,Princess falls deeply in love with Jaguar Knight.,,,,,,,,,
2025-04-18 13:15:09,2025-04-18 13:16:12,1,,100,63,1,2025-04-18 13:16:13,R_1j1sGbJp958Qly1,,,,,40.3598,-111.7304,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy kidnaps Princess.,Jaguar Knight kills Enemy.,Princess liberated by Jaguar Knight.,Enemy hates Princess.,Jaguar Knight hates Enemy.,Princess is a prisoner.,Princess is in prison.,Enemy dies.,Princess falls deeply in love with Jaguar Knight.,,,,,,,,,
2025-04-18 20:52:46,2025-04-18 20:53:53,1,,100,67,1,2025-04-18 20:53:53,R_6pSzS8pFx6z1Mox,,,,,40.2584,-111.6591,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Princess heals Jaguar Knight.,Enemy attacks Princess.,Princess liberated by Jaguar Knight.,Princess loves Jaguar Knight.,Enemy hates Princess.,Princess is a prisoner.,Jaguar Knight's health is normal.,Princess's life is at risk.,Princess falls deeply in love with Jaguar Knight.,,,,,,,,,
2025-04-18 20:54:09,2025-04-18 20:54:46,1,,100,36,1,2025-04-18 20:54:46,R_60wP1EvMu57lEDm,,,,,40.2584,-111.6591,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Princess heals Jaguar Knight.,Jaguar Knight kills Enemy.,Princess liberated by Jaguar Knight.,Princess loves Jaguar Knight.,Enemy's life is at risk.,Princess is a prisoner.,Jaguar Knight's health is normal.,Enemy dies.,Princess falls deeply in love with Jaguar Knight.,,,,,,,,,
